City/Community,,House_units,House_price,House_change,House_foot,Condo_units,Condo_price,Condo_change,Month,
Coronado,92118,10,2350,0.270,939,12,1350,0.543,Apr18,
Del Mar,92014,19,2000,-0.189,1035,8,810,-0.180,Apr18,
Descanso,91916,6,380,-0.073,237,0,,,Apr18,
Downtown,92101,0,,,,92,570,0.152,Apr18,
Dulzura,91917,0,,,,0,,,Apr18,
East San Diego,92102,14,453,0.192,416,5,250,-0.233,Apr18,
East San Diego,92105,23,425,0.104,407,7,250,0.073,Apr18,
El Cajon,92019,44,550,-0.013,333,16,323,-0.002,Apr18,
El Cajon,92020,36,613,0.361,336,16,240,0.106,Apr18,
El Cajon,92021,42,500,-0.046,311,11,285,0.069,Apr18,
Encanto,92114,61,435,0.048,333,2,388,0.092,Apr18,
Encinitas,92024,29,1228,0.101,473,19,725,0.198,Apr18,
Escondido,92025,26,610,0.058,323,9,433,0.442,Apr18,
Escondido,92026,51,529,0.008,305,4,280,0.022,Apr18,
Escondido,92027,55,475,0.019,315,8,271,0.355,Apr18,
Escondido,92029,16,667,-0.070,339,1,320,,Apr18,
Fallbrook,92028,70,545,-0.009,278,3,215,-0.002,Apr18,
Hillcrest,92103,9,1263,-0.024,738,19,600,0.463,Apr18,
Imperial Beach,91932,22,618,0.199,467,9,700,1.000,Apr18,
Jacumba,91934,2,198,,169,0,,,Apr18,
Jamul,91935,14,760,0.226,300,0,,,Apr18,
Julian,92036,4,338,-0.167,310,0,,,Apr18,
La Jolla,92037,32,2400,0.206,962,53,855,0.326,Apr18,
La Mesa,91941,40,618,0.227,328,4,309,0.074,Apr18,
La Mesa,91942,32,572,0.078,357,19,325,-0.008,Apr18,
Lakeside,92040,36,540,0.146,315,8,243,0.054,Apr18,
Lemon Grove,91945,13,485,0.120,303,1,215,-0.140,Apr18,
Linda Vista,92111,21,648,0.176,454,21,377,0.195,Apr18,
Logan Heights,92113,14,380,0.134,343,1,395,0.881,Apr18,
Mira Mesa,92126,31,625,0.136,447,26,385,0.116,Apr18,
Mission Village,92123,21,628,0.096,432,13,508,0.390,Apr18,
National City,91950,13,415,0.051,309,3,307,-0.089,Apr18,
Normal Heights,92116,29,657,-0.106,642,13,395,0.105,Apr18,
North Park,92104,22,703,-0.063,715,18,415,0.221,Apr18,
Ocean Beach,92107,16,1150,0.031,594,12,530,0.277,Apr18,
Oceanside,92054,18,696,0.301,432,16,606,0.138,Apr18,
Oceanside,92056,69,566,0.121,332,11,383,0.147,Apr18,
Oceanside,92057,76,471,0.047,297,19,355,-0.004,Apr18,
Oceanside,92058,,,,,,,,Apr18,
Pacific Beach,92109,22,1150,0.050,689,33,595,0.092,Apr18,
Palomar Mountain,92060,1,,,,0,,,Apr18,
Paradise Hills,92139,15,452,0.115,283,5,340,0.074,Apr18,
Pauma Valley,92061,2,573,0.157,259,3,355,0.076,Apr18,
Pine Valley,91962,3,470,0.582,298,0,,,Apr18,
Point Loma,92106,20,1050,-0.204,668,9,669,0.070,Apr18,
Potrero,91963,0,,,,0,,,Apr18,
Poway,92064,52,755,-0.051,367,6,507,-0.107,Apr18,
Ramona,92065,50,535,0.019,271,5,295,0.255,Apr18,
Ranch Bernardo,92127,38,1153,0.195,372,22,421,-0.149,Apr18,
Ranch Bernardo,92128,48,750,0.049,410,47,483,0.253,Apr18,
Ranch Penasquitos,92129,36,839,0.149,395,19,370,0.038,Apr18,
Ranch Santa Fe,92067,17,2300,-0.030,540,1,1275,0.000,Apr18,
Ranch Santa Fe,92091,3,2298,1.785,512,1,589,-0.091,Apr18,
Ranchita,92066,1,,,,0,,,Apr18,
San Carlos,92119,33,645,0.103,418,15,310,0.016,Apr18,
San Diego,92108,1,520,,321,33,365,0.106,Apr18,
San Diego,92112,0,,,,0,,,Apr18,
San Marcos,92069,30,585,0.082,294,8,470,0.524,Apr18,
San Marcos,92078,45,820,0.122,340,22,532,0.164,Apr18,
San Ysidro,92173,4,485,0.183,281,7,184,-0.144,Apr18,
Santa Ysabel,92070,2,383,,306,0,,,Apr18,
Santee,92071,44,525,0.076,359,29,360,0.173,Apr18,
Scripps Ranch,92131,18,950,0.027,398,18,532,0.162,Apr18,
Solana Beach,92075,10,1526,-0.152,618,9,804,-0.088,Apr18,
Sorrento Valley,92121,0,,,,4,615,,Apr18,
South San Diego,92154,20,495,0.121,294,21,360,0.134,Apr18,
Spring Valley,91977,55,470,0.106,316,15,305,0.196,Apr18,
Spring Valley,91978,1,600,-0.020,294,1,295,0.105,Apr18,
Tierrasanta,92124,14,760,0.013,377,9,499,0.174,Apr18,
University City,92122,13,835,-0.040,553,32,493,0.279,Apr18,
Valley Center,92082,17,708,0.190,269,0,,,Apr18,
Vista,92081,23,575,0.013,336,10,373,0.040,Apr18,
Vista,92083,15,495,0.115,285,4,334,0.095,Apr18,
Vista,92084,32,571,0.137,290,3,402,0.176,Apr18,
Warner Springs,92086,0,,,,0,,,Apr18,
Countywide,,"2,470",620,0.050,361,"1,191",428,0.095,May18,
Allied Gardens,92120,20,650,0.047,402,11,395,0.606,May18,
Alpine,91901,19,665,0.106,311,2,289,0.203,May18,
Bay Park,92110,12,770,0.003,514,18,414,-0.009,May18,
Bonita,91902,14,748,0.176,314,1,368,0.434,May18,
Bonsall,92003,4,438,-0.359,217,4,292,0.217,May18,
Borrego Springs,92004,10,198,-0.238,122,3,89,0.113,May18,
Boulevard,91905,,,,,,,,May18,
Campo,91906,13,320,0.133,184,,,,May18,
Cardiff-by-the-Sea,92007,8,896,-0.024,694,1,540,-0.162,May18,
Carlsbad,92008,23,936,0.130,393,11,725,0.193,May18,
Carlsbad,92009,42,1087,0.060,394,27,525,0.165,May18,
Carlsbad,92010,24,765,-0.077,373,7,571,0.095,May18,
Carlsbad,92011,19,833,-0.191,440,3,985,0.422,May18,
Carmel Valley,92130,52,1328,0.079,469,36,656,0.102,May18,
Chula Vista,91910,36,568,0.159,330,17,405,0.298,May18,
Chula Vista,91911,43,485,0.116,327,17,345,0.160,May18,
Chula Vista,91913,49,610,0.084,283,35,395,0.121,May18,
Chula Vista,91914,9,850,0.126,294,6,433,0.103,May18,
Chula Vista,91915,17,640,0.067,271,36,454,0.058,May18,
Clairemont,92117,52,691,0.097,518,12,382,0.134,May18,
College Grove,92115,31,619,0.125,416,23,260,-0.037,May18,
Coronado,92118,20,1818,0.028,866,12,885,-0.250,May18,
Del Mar,92014,18,1885,-0.008,785,7,1166,0.223,May18,
Descanso,91916,4,299,-0.251,159,,,,May18,
Downtown,92101,2,840,-0.408,1099,73,540,0.057,May18,
Dulzura,91917,,,,,,,,May18,
East San Diego,92102,10,525,0.215,466,7,344,-0.046,May18,
East San Diego,92105,29,420,0.027,396,12,293,0.734,May18,
El Cajon,92019,36,575,0.085,314,19,314,-0.071,May18,
El Cajon,92020,48,501,-0.036,304,8,222,-0.148,May18,
El Cajon,92021,29,510,0.112,321,18,277,0.045,May18,
Encanto,92114,46,425,0.012,323,2,370,0.276,May18,
Encinitas,92024,55,1250,0.295,533,28,716,0.372,May18,
